window_start,source,service,src_ip_hash,src_ip_masked,attempts,success_count,unique_users,unique_passwords,pass_entropy_mean,mean_interarrival_s,min_interarrival_s,users_per_attempt,passwords_per_attempt,success_rate,log_attempts,log_unique_users,log_unique_passwords,baseline_alert,if_pred,if_score
<<<<<<< HEAD
2025-07-20 08:25:00+00:00,cowrie,ssh,f17d8440265f1abf,14.103.112.0/24,1,0,1,1,0.0,2404891.3925631046,2404891.3925631046,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.07994339356263391
2025-07-27 10:45:00+00:00,cowrie,ssh,9a8666c1598b0130,203.195.64.0/24,1,0,1,1,1.0,3318477.8614239693,3318477.8614239693,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.07642489595356239
2025-08-01 00:45:00+00:00,cowrie,ssh,8394fe100696b7a9,154.125.125.0/24,1,0,1,1,1.0,3178836.6710119247,3178836.6710119247,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.07642489595356239
2025-07-24 17:35:00+00:00,cowrie,ssh,fd9e44ef3fe8c123,123.58.213.0/24,1,0,1,1,4.584962500721156,2488863.626270056,2488863.626270056,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.07459179895464918
2025-07-26 09:55:00+00:00,cowrie,ssh,1e3481c035a6f57c,177.182.181.0/24,1,0,1,1,3.7004397181410926,2763575.4664399624,2763575.4664399624,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.07355266724037957
2025-07-31 08:25:00+00:00,cowrie,ssh,a014f2a9bf39adc4,118.107.44.0/24,1,0,1,1,3.584962500721156,3884467.4913311005,3884467.4913311005,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.07251340621495161
2025-07-23 08:55:00+00:00,cowrie,ssh,ecf1b2929e8606fa,178.62.17.0/24,1,0,1,1,1.0,2308848.3053929806,2308848.3053929806,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.07212915243732576
2025-07-28 15:55:00+00:00,cowrie,ssh,4f6147983fbfba0b,156.38.18.0/24,1,0,1,1,1.0,2316891.740904808,2316891.740904808,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.07212915243732576
2025-07-27 02:50:00+00:00,cowrie,ssh,2c80e699229bb714,12.189.234.0/24,1,0,1,1,1.061278124459133,2516417.048145056,2516417.048145056,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.0708467462265322
2025-07-30 07:10:00+00:00,cowrie,ssh,4443fa539b390847,171.220.244.0/24,1,0,1,1,3.584962500721156,3545418.424357891,3545418.424357891,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.07069867281474007
2025-07-28 03:45:00+00:00,cowrie,ssh,440d5d59cbd2389a,103.63.108.0/24,1,0,1,1,1.584962500721156,2788276.931175947,2788276.931175947,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.07065619904379472
2025-08-03 14:15:00+00:00,cowrie,ssh,88ca25b19d877a32,14.103.107.0/24,1,0,1,1,1.9219280948873623,3675759.9447660446,3675759.9447660446,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.07027016315458279
2025-08-04 20:35:00+00:00,cowrie,ssh,0e6debe44bff754d,210.79.142.0/24,1,0,1,1,3.321928094887362,3670807.787744999,3670807.787744999,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.0699614266298263
2025-07-24 21:40:00+00:00,cowrie,ssh,1d4719d0ef363ca8,183.236.205.0/24,1,0,1,1,0.8112781244591328,2056330.0918681622,2056330.0918681622,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.06957651038801904
2025-07-31 13:40:00+00:00,cowrie,ssh,edf6d6f82f2ea416,1.214.197.0/24,1,0,1,1,2.0,3605132.620844841,3605132.620844841,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.06926549905845059
2025-07-30 09:40:00+00:00,cowrie,ssh,d24157f8d28471f8,154.221.19.0/24,1,0,1,1,3.084962500721156,4012123.326169014,4012123.326169014,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.06915606546536524
2025-08-05 19:55:00+00:00,cowrie,ssh,43274706dec311c3,63.116.23.0/24,1,0,1,1,0.0,1771545.562374115,1771545.562374115,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.06894682636678984
2025-07-30 02:50:00+00:00,cowrie,ssh,315a72b810eceb2d,185.213.165.0/24,1,0,1,1,3.169925001442312,3682076.422396183,3682076.422396183,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.06890514880322518
2025-07-31 10:30:00+00:00,cowrie,ssh,204154d9ecedfd5d,180.184.78.0/24,1,0,1,1,3.169925001442312,3663749.8198490143,3663749.8198490143,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.06890514880322518
2025-08-05 04:25:00+00:00,cowrie,ssh,a426efdb51d82efc,101.36.126.0/24,1,0,1,1,3.169925001442312,4065332.2663939,4065332.2663939,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.06890514880322518
2025-08-05 08:55:00+00:00,cowrie,ssh,d42a4e26c205c802,20.127.224.0/24,1,0,1,1,3.169925001442312,3826953.6504740715,3826953.6504740715,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.06890514880322518
2025-07-19 13:55:00+00:00,cowrie,ssh,5f9c1b572e708606,106.37.72.0/24,1,0,1,1,3.6644977792004623,2628869.237528801,2628869.237528801,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.06774538099273164
2025-07-31 21:10:00+00:00,cowrie,ssh,25d295fdd98221ea,140.249.22.0/24,1,0,1,1,3.0,3912818.7994070053,3912818.7994070053,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.0677409375933179
2025-08-02 15:50:00+00:00,cowrie,ssh,500a834579a66be7,106.75.163.0/24,1,0,1,1,3.418295834054489,3522544.506305933,3522544.506305933,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.06768448394534476
2025-07-27 17:50:00+00:00,cowrie,ssh,649fdd79dc439a6e,47.251.102.0/24,1,0,1,1,3.095795255000934,3518240.9442970753,3518240.9442970753,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.06759989831113489
2025-07-30 07:20:00+00:00,cowrie,ssh,8f395065754d5172,170.83.79.0/24,1,0,1,1,1.9182958340544896,2990995.8740570545,2990995.8740570545,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.06745867509651804
2025-07-30 07:25:00+00:00,cowrie,ssh,9fec5586e01617f4,170.83.79.0/24,1,0,1,1,3.321928094887362,2984446.864520073,2984446.864520073,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.06715110689434822
2025-07-31 05:40:00+00:00,cowrie,ssh,5b36a8472e3db7d4,103.146.159.0/24,1,0,1,1,3.169925001442312,3125478.199051857,3125478.199051857,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.06709920238118683
2025-07-24 09:45:00+00:00,cowrie,ssh,9d97010b945aac8e,103.243.27.0/24,1,0,1,1,3.169925001442312,3143540.038349867,3143540.038349867,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.06709920238118683
2025-07-26 16:40:00+00:00,cowrie,ssh,e767208927692dd3,91.92.199.0/24,1,0,1,1,3.169925001442312,3051572.786416054,3051572.786416054,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.06609882624055818
2025-07-16 14:00:00+00:00,cowrie,ssh,f6623a8a9901f957,103.181.143.0/24,1,0,1,1,3.906890595608518,1919746.3378481865,1919746.3378481865,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.06604590920108144
2025-07-19 05:50:00+00:00,cowrie,ssh,c05fb312d216d195,83.234.160.0/24,1,0,1,1,2.0,2683819.7620420456,2683819.7620420456,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.06595788938430691
2025-07-24 10:20:00+00:00,cowrie,ssh,86f8b6f11e4fa356,113.125.140.0/24,1,0,1,1,3.0,3145145.197044134,3145145.197044134,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.06593782630672673
2025-07-25 23:55:00+00:00,cowrie,ssh,4d1ff52e39def27f,159.223.37.0/24,1,0,1,1,3.0,3203930.0955369473,3203930.0955369473,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.06593782630672673
2025-07-21 08:10:00+00:00,cowrie,ssh,ac85f3e7d6595371,59.36.78.0/24,1,0,1,1,3.418295834054489,2682320.753284931,2682320.753284931,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.06593332921460793
2025-07-12 05:15:00+00:00,cowrie,ssh,6dfece6e2db46f53,89.168.115.0/24,236,0,5,87,1.0823678684872735,1.059432584350392,1.0349600315093994,0.0211864406779661,0.3686440677966102,0.0,5.4680601411351315,1.791759469228055,4.477336814478207,1,1,-0.06583485729192473
2025-07-22 04:15:00+00:00,cowrie,ssh,1759ac9a3fd2fcab,14.103.123.0/24,1,0,1,1,3.277613436819116,2657727.050346136,2657727.050346136,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.06565094483829681
2025-07-17 13:20:00+00:00,cowrie,ssh,581dea0bfc579c44,220.246.66.0/24,1,0,1,1,0.0,1588471.1431570053,1588471.1431570053,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.06519303370834029
2025-07-18 01:45:00+00:00,cowrie,ssh,f0af9ee0af2fd97d,122.187.229.0/24,1,0,1,1,0.0,1586810.7493429184,1586810.7493429184,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.06519303370834029
2025-07-27 15:30:00+00:00,cowrie,ssh,3a9f4a61c4b777dc,113.31.124.0/24,1,0,1,1,2.807354922057604,3383207.1772949696,3383207.1772949696,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.06515968671968475
2025-07-17 14:05:00+00:00,cowrie,ssh,a01c1fb1ea090b75,218.200.200.0/24,1,0,1,1,0.0,1546258.0542769432,1546258.0542769432,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.06494345748598318
2025-07-31 11:00:00+00:00,cowrie,ssh,d39db4c806a7b228,12.156.67.0/24,1,0,1,1,3.0,2950539.8558080196,2950539.8558080196,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.06493902064561075
2025-07-24 15:45:00+00:00,cowrie,ssh,cac68e7cebae4f9a,185.213.174.0/24,1,0,1,1,3.0,2978288.1292300224,2978288.1292300224,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.06493902064561075
2025-07-30 07:10:00+00:00,cowrie,ssh,ca23764e63fc2aa8,170.83.79.0/24,1,0,1,1,3.0,2982564.0987148285,2982564.0987148285,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.06493902064561075
2025-07-23 01:55:00+00:00,cowrie,ssh,41ccb5752645ea95,211.253.9.0/24,1,0,1,1,3.0,2792308.6747820377,2792308.6747820377,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.06444012442018088
2025-07-11 18:35:00+00:00,cowrie,ssh,8c30abf668fab51f,51.75.87.0/24,284,0,4,85,1.0601099664493465,1.0582932435290915,1.0392210483551025,0.014084507042253521,0.2992957746478873,0.0,5.652489180268651,1.6094379124341003,4.454347296253507,1,1,-0.06434841213092546
2025-07-28 08:15:00+00:00,cowrie,ssh,b39e38b6641a7ecb,178.185.136.0/24,1,0,1,1,2.807354922057604,3004166.789408207,3004166.789408207,1.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,-0.06416193330366515
