label,window_start,source,service,src_ip_hash,src_ip_masked,attempts,unique_users,unique_passwords,success_count,mean_interarrival_s,min_interarrival_s,pass_entropy_mean,baseline_alert,if_pred,if_score
<<<<<<< HEAD
,2025-07-22 03:40:00+00:00,cowrie,ssh,e39595777ef95f86,207.148.134.0/24,22,1,22,0,14.10411163893613,7.372457027435303,2.5006777772801647,1,0,0.14483544750493993
,2025-06-19 01:40:00+00:00,cowrie,ssh,381c98f66fbc8595,134.199.145.0/24,64,46,46,0,4.6254450008273125,4.023822069168091,2.398684737251487,1,0,0.008949686717304894
,2025-08-02 00:45:00+00:00,cowrie,ssh,9e3253df4bbbe325,82.115.21.0/24,1,1,1,0,1396471.9625461102,1396471.9625461102,2.4056390622295662,0,1,-0.01920216460469082
,2025-06-18 14:15:00+00:00,cowrie,ssh,22d0eda6efcbd601,45.78.198.0/24,120,1,120,0,2.496753325064977,2.4167158603668213,2.9039468207622576,1,0,0.054394100883262464
,2025-06-27 05:25:00+00:00,cowrie,ssh,66cb4c27a98578c5,195.182.25.0/24,22,17,20,0,13.689464233138345,7.478691101074219,2.4149906597270805,1,0,0.08857810644013264
,2025-06-17 04:30:00+00:00,cowrie,ssh,200e85ea337578b4,46.62.130.0/24,43,29,31,0,6.954879932625349,2.7244069576263428,2.5728174854379042,1,0,0.038017197038686446
,2025-06-14 02:30:00+00:00,cowrie,ssh,52a3d241c2a069b9,43.254.33.0/24,30,6,26,0,0.6881828225892166,0.5480480194091797,2.4710499463029136,1,0,0.07942640050424621
,2025-07-24 14:50:00+00:00,cowrie,ssh,dd207aa569b5d487,45.115.155.0/24,1,1,1,0,33434.35671401024,33434.35671401024,3.2389012566026314,0,0,0.3070108516090076
,2025-06-19 21:10:00+00:00,cowrie,ssh,b8cda9d0613ac94b,213.169.137.0/24,24,1,24,0,1.5114959219227666,1.3506970405578613,2.083021982893134,1,0,0.11118672367278337
,2025-07-30 21:20:00+00:00,cowrie,ssh,43dc9d42c1981724,49.207.2.0/24,1,1,1,0,1635171.6516640186,1635171.6516640186,3.169925001442312,0,1,-0.04202024430443263
,2025-07-18 01:50:00+00:00,cowrie,ssh,99adc38832953cb3,195.178.110.0/24,5,1,5,0,10003.395466184616,1.129883050918579,2.985796864130822,0,0,0.20861307921556255
,2025-07-16 01:50:00+00:00,cowrie,ssh,5443b218ea1e7897,221.4.153.0/24,1,1,1,0,1338145.1686069965,1338145.1686069965,3.321928094887362,0,1,-0.018175606248392984
,2025-07-20 07:10:00+00:00,cowrie,ssh,2665c2c0001eacdd,125.138.104.0/24,3,1,3,0,98.1942663192749,97.25782418251038,2.6672097224626072,0,0,0.272957208888301
,2025-07-15 07:45:00+00:00,cowrie,ssh,b914dbe74f55702d,95.25.179.0/24,90,17,67,0,0.29182758492030453,0.2757389545440674,2.256582459242919,1,1,-0.004103991391690043
,2025-07-19 01:05:00+00:00,cowrie,ssh,85d57c68b15548ed,43.153.10.0/24,4,1,4,0,66.43156498670578,65.88673996925354,2.926958315739369,0,0,0.2794261257726613
,2025-07-08 08:10:00+00:00,cowrie,ssh,268160183296db05,101.36.119.0/24,2,1,2,0,263.65541899204254,262.1747679710388,3.133393270347451,0,0,0.2353958874568609
,2025-07-23 04:30:00+00:00,cowrie,ssh,2945f1c2df6b0203,121.130.95.0/24,1,1,1,0,26705.386595010757,26705.386595010757,3.0,0,0,0.3239719842131112
,2025-07-24 03:05:00+00:00,cowrie,ssh,8669ab74933cc3f8,211.196.31.0/24,1,1,1,0,19453.495006084442,19453.495006084442,2.5032583347756456,0,0,0.3169136029568254
,2025-07-17 01:50:00+00:00,cowrie,ssh,caa3fc252aa473d3,178.178.194.0/24,1,1,1,0,785581.6157450676,785581.6157450676,0.0,0,0,0.006861154141125536
,2025-07-24 07:25:00+00:00,cowrie,ssh,fc67cf3b57cd2566,185.77.3.0/24,1,1,1,0,207.29951286315918,207.29951286315918,1.0,0,0,0.2782011457457093
,2025-06-24 01:30:00+00:00,cowrie,ssh,ce0852eda6016a0b,59.31.133.0/24,137,12,25,0,1.5160923389827503,1.2810189723968506,2.20162877606612,1,1,-0.03283406695840918
,2025-07-01 08:10:00+00:00,cowrie,ssh,7315048f5f30bb66,80.94.95.0/24,5,1,5,0,77.77314620018005,1.0678660869598389,2.824102822931542,0,0,0.26581151850939455
,2025-07-19 22:10:00+00:00,cowrie,ssh,b6a38b18e9406e8e,170.64.206.0/24,32,23,28,0,9.325319878757,8.471999883651733,2.469034999149624,1,0,0.060177576865571014
,2025-07-14 05:00:00+00:00,cowrie,ssh,b49525df168501aa,45.146.130.0/24,5,1,5,0,452.855575799942,1.0147650241851807,3.2531811600204037,0,0,0.23765478214945202
,2025-07-04 15:35:00+00:00,cowrie,ssh,2c5f95337f53f357,84.35.45.0/24,1,1,1,0,1827243.754091978,1827243.754091978,1.584962500721156,0,1,-0.053357883079223845
,2025-07-18 04:25:00+00:00,cowrie,ssh,8669ab74933cc3f8,211.196.31.0/24,1,1,1,0,362121.92056393623,362121.92056393623,0.0,0,0,0.09353604537926574
,2025-07-10 03:20:00+00:00,cowrie,ssh,d2d6829e7ed19958,75.152.225.0/24,1,1,1,0,256592.970484972,256592.970484972,0.0,0,0,0.11548429660278492
,2025-07-14 14:35:00+00:00,cowrie,ssh,b0ba2c30714469c2,152.42.181.0/24,18,17,13,0,16.802675048510235,15.820242881774902,2.456242608605079,0,0,0.059784435490284116
,2025-07-28 15:55:00+00:00,cowrie,ssh,2128015854d17391,14.103.127.0/24,1,1,1,0,1405804.0679209232,1405804.0679209232,2.2516291673878226,0,1,-0.022810426310526655
,2025-07-29 14:10:00+00:00,cowrie,ssh,8dc6283c6c7795a1,139.19.117.0/24,2,1,0,0,400955.9528449774,0.03629589080810547,2.772963274082419,0,1,-0.006738102073086227
,2025-07-25 10:35:00+00:00,cowrie,ssh,d31de4bd887ff194,103.130.219.0/24,1,1,1,0,31747.060467004776,31747.060467004776,3.0,0,0,0.31550760434923697
,2025-07-24 01:50:00+00:00,cowrie,ssh,e8dd86dce6881d6a,103.140.249.0/24,1,1,1,0,31763.922012090683,31763.922012090683,3.4182958340544896,0,0,0.29763140331925997
,2025-07-24 15:00:00+00:00,cowrie,ssh,eeb445fe7fe55447,213.212.224.0/24,1,1,1,0,2072269.5702700615,2072269.5702700615,3.5465935642949384,0,1,-0.060931999425102745
,2025-07-05 21:25:00+00:00,cowrie,ssh,91f995d127c29b77,5.100.249.0/24,1,1,1,0,1473.123339176178,1473.123339176178,2.807354922057604,0,0,0.3414531576283474
,2025-07-24 04:00:00+00:00,cowrie,ssh,579da29a3bf4378c,45.82.122.0/24,1,1,1,0,31889.555371046066,31889.555371046066,3.75,0,0,0.26512732621578183
,2025-07-26 05:55:00+00:00,cowrie,ssh,75c51b7c4161cf37,64.23.152.0/24,37,25,33,0,8.0994913513596,5.859642028808594,2.470705320167412,1,0,0.05351172013261696
,2025-06-26 03:25:00+00:00,cowrie,ssh,f07e267c8648f67d,187.212.35.0/24,1,1,1,0,252.984060049057,252.984060049057,1.7924812503605778,0,0,0.3219167477575228
,2025-07-18 01:15:00+00:00,cowrie,ssh,dd54460e688af4b3,183.249.1.0/24,1,1,1,0,1502266.2733020782,1502266.2733020782,0.0,0,1,-0.06245233341513878
,2025-07-14 20:40:00+00:00,cowrie,ssh,fc4272d282ab8672,154.221.22.0/24,2,1,2,0,251.59547591209412,250.19277787208557,3.207248889600231,0,0,0.23595707122394055
,2025-07-26 22:10:00+00:00,cowrie,ssh,66069613970a19aa,188.166.7.0/24,48,31,44,0,6.314445788661639,6.051862001419067,2.4197179704705505,1,0,0.03341416293223809
,2025-07-07 12:10:00+00:00,cowrie,ssh,1333164145072d4d,117.211.15.0/24,1,1,1,0,28188.986732959747,28188.986732959747,0.0,0,0,0.2021620268392051
,2025-07-30 20:00:00+00:00,cowrie,ssh,04e22d2187371949,180.97.197.0/24,59,1,59,0,5.063930220523123,2.8774662017822266,2.831773638849195,1,0,0.08271860519861751
,2025-06-14 04:50:00+00:00,cowrie,ssh,076ab4c046efbe09,115.190.9.0/24,47,1,47,0,6.489417938475913,2.688910961151123,2.904565451215269,1,0,0.10272295802488829
,2025-06-24 14:00:00+00:00,cowrie,ssh,10ffba65b2f01835,164.90.218.0/24,20,16,17,0,14.52099530696869,13.16404414176941,2.642684298218562,1,0,0.09027183390333171
,2025-07-13 08:45:00+00:00,cowrie,ssh,3d76f81c7eb19f35,116.193.191.0/24,26,22,25,0,12.15758188871237,5.0170440673828125,2.40834012793793,1,0,0.0671382746273761
,2025-07-09 03:00:00+00:00,cowrie,ssh,d2f7d7e320691c9d,194.0.234.0/24,1,1,1,0,1162.6302189826965,1162.6302189826965,2.584962500721156,0,0,0.34082519229771396
,2025-06-30 10:25:00+00:00,cowrie,ssh,6a81fc42fa0d577e,177.36.191.0/24,90,17,67,0,0.7206224939796362,0.6714870929718018,2.2565824592429187,1,1,-0.003875077679159178
,2025-06-10 14:20:00+00:00,cowrie,ssh,e02aadb0f6a0751f,178.250.191.0/24,21,13,18,0,13.562529291425433,2.6597750186920166,2.6461133413383453,1,0,0.09304741843341502
,2025-07-24 21:50:00+00:00,cowrie,ssh,ebfeab1a545bc779,103.191.178.0/24,4,1,4,0,81.82938772439957,78.10158896446228,2.62377785777633,0,0,0.28167809203378874
,2025-07-02 04:40:00+00:00,cowrie,ssh,ac39ac0b98df3f72,49.37.34.0/24,1,1,1,0,49926.22056603432,49926.22056603432,2.6416041678685933,0,0,0.29971541425776277
,2025-07-13 19:25:00+00:00,cowrie,ssh,e610ac1313083b2e,58.240.2.0/24,1,1,1,0,1178902.127521038,1178902.127521038,2.9219280948873623,0,0,0.013744437273631727
,2025-06-18 06:15:00+00:00,cowrie,ssh,c4f572eae3ec7c95,217.154.205.0/24,1,1,1,0,320.38404178619385,320.38404178619385,3.584962500721156,0,0,0.3187344000876326
,2025-07-30 18:00:00+00:00,cowrie,ssh,04e22d2187371949,180.97.197.0/24,42,1,42,0,7.163310595921108,3.1931190490722656,2.8731307473998102,1,0,0.11330871359352912
,2025-08-02 22:20:00+00:00,cowrie,ssh,7e712856059db826,91.237.163.0/24,36,27,27,0,8.286573443147871,8.095335960388184,2.549622230078937,1,0,0.04471199671592163
,2025-07-27 04:25:00+00:00,cowrie,ssh,9ca696a78031e075,60.199.224.0/24,3,1,3,0,80.22951594988506,77.08651399612427,2.4449875002403854,0,0,0.27107517459058
,2025-06-30 06:55:00+00:00,cowrie,ssh,c42e88d0478f5e4c,45.151.62.0/24,65,1,65,0,4.643249089901264,3.3312320709228516,3.154779574927252,1,0,0.07138381522153525
,2025-06-25 04:15:00+00:00,cowrie,ssh,57e0bee5bf9d948f,40.82.214.0/24,1,1,1,0,299.7506949901581,299.7506949901581,2.75,0,0,0.34728043348780097
,2025-06-30 06:20:00+00:00,cowrie,ssh,c42e88d0478f5e4c,45.151.62.0/24,67,1,67,0,4.428133042890634,3.2085208892822266,2.9367899810707816,1,0,0.07277272331156004
,2025-07-17 02:45:00+00:00,cowrie,ssh,d4715da2471e4b0f,201.186.40.0/24,4,1,4,0,92.53414273262024,90.21701908111572,2.499629296281366,0,0,0.2707803014201985
,2025-07-10 09:35:00+00:00,cowrie,ssh,0ad1fc123d7983fe,203.193.147.0/24,1,1,1,0,52660.985965013504,52660.985965013504,0.0,0,0,0.18646218134129455
,2025-06-30 12:10:00+00:00,cowrie,ssh,68bc8eae8e2b3af5,45.132.1.0/24,12,11,12,0,26.94824508825938,0.8987250328063965,2.13236605864933,0,0,0.11623018924492723
,2025-06-14 21:00:00+00:00,cowrie,ssh,faf41165074b964e,220.243.137.0/24,63,3,63,0,2.7300254125443715,2.3014400005340576,0.8147633555944833,1,0,0.011399894004522793
,2025-06-30 16:00:00+00:00,cowrie,ssh,c42e88d0478f5e4c,45.151.62.0/24,36,1,36,0,8.380622863769531,5.762984991073608,2.601216907312233,1,0,0.11365207016439749
